"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 26 03:24:19 GMT 2025","Sun Jan 26 03:24:19 GMT 2025","48","tests.unit.schemas","test_common","TestCustomEmailStr","","","test_is_valid[aiueo@example.com-True]",""
"passed","Sun Jan 26 03:24:18 GMT 2025","Sun Jan 26 03:24:18 GMT 2025","98","tests.scenario","test_healthcheck","","","","test_response_json",""
"skipped","Sun Jan 26 03:24:18 GMT 2025","Sun Jan 26 03:24:18 GMT 2025","0","tests.unit.models","test_search","","","","test_02",""
"passed","Sun Jan 26 03:24:19 GMT 2025","Sun Jan 26 03:24:19 GMT 2025","0","tests.unit.schemas","test_common","TestCustomEmailStr","","","test_is_valid[\u3042\u3044\u3046\u3048\u304a+\u3042\u3044\u3046\u3048\u304a@example.com-False]",""
"skipped","Sun Jan 26 03:24:18 GMT 2025","Sun Jan 26 03:24:18 GMT 2025","0","tests.helpers","test_aws","TestAws","","","test_01",""
"skipped","Sun Jan 26 03:24:18 GMT 2025","Sun Jan 26 03:24:18 GMT 2025","1","tests.unit.crud","test_user","TestUser","","","test_cant_find_app_name","
DBの kirimaru ではなく、Appで加工した「削除済ユーザ」で検索するので、Appを経由すると取得できない。
"
"passed","Sun Jan 26 03:24:18 GMT 2025","Sun Jan 26 03:24:18 GMT 2025","2","tests.unit.models","test_minors","TestIterator","","","test_one",""
"skipped","Sun Jan 26 03:24:19 GMT 2025","Sun Jan 26 03:24:19 GMT 2025","0","tests.unit.schemas","test_datetime_serialize","TestCustomDatetime","","","test_deserialize",""
"passed","Sun Jan 26 03:24:18 GMT 2025","Sun Jan 26 03:24:18 GMT 2025","0","tests.unit.models","test_default_parameter","TestDefaultParameter","","","test_02",""
"skipped","Sun Jan 26 03:24:18 GMT 2025","Sun Jan 26 03:24:18 GMT 2025","1","tests.unit.models","test_flatmap","TestFlatmap","","","test_04",""
"passed","Sun Jan 26 03:24:19 GMT 2025","Sun Jan 26 03:24:19 GMT 2025","1","tests.unit.schemas","test_common","TestCustomEmailStr","","","test_is_valid[aiueo+\uff10@example.com-False]",""
"passed","Sun Jan 26 03:24:18 GMT 2025","Sun Jan 26 03:24:18 GMT 2025","0","tests.unit.models","test_case","TestCase","","","test_get_class[dev-Mailer]",""
"skipped","Sun Jan 26 03:24:18 GMT 2025","Sun Jan 26 03:24:18 GMT 2025","0","tests.unit.crud","test_user","TestUser","","","test_01",""
"skipped","Sun Jan 26 03:24:18 GMT 2025","Sun Jan 26 03:24:18 GMT 2025","0","tests.unit.crud","test_user","TestUser","","","test_parameter_lower",""
"passed","Sun Jan 26 03:24:18 GMT 2025","Sun Jan 26 03:24:18 GMT 2025","1","tests.unit.models","test_for_pythonista","TestForPythonista","","","test_list_compression",""
"skipped","Sun Jan 26 03:24:18 GMT 2025","Sun Jan 26 03:24:18 GMT 2025","0","tests.unit.crud","test_task","TestTaskCascade","","","test_delete_at_app","
Taskを削除したときに子テーブルのDoneも削除すること。
"
"passed","Sun Jan 26 03:24:18 GMT 2025","Sun Jan 26 03:24:18 GMT 2025","0","tests.unit.models","test_defaultdict","TestDefaultDict","","","test_defaultdict_type_conversion",""
"skipped","Sun Jan 26 03:24:18 GMT 2025","Sun Jan 26 03:24:18 GMT 2025","0","tests.unit.models","test_search","","","","test_03",""
"skipped","Sun Jan 26 03:24:18 GMT 2025","Sun Jan 26 03:24:18 GMT 2025","0","tests.unit.crud","test_user","TestUser","","","test_lower_case","
ilikeを使用しないパターン
"
"passed","Sun Jan 26 03:24:18 GMT 2025","Sun Jan 26 03:24:18 GMT 2025","0","tests.unit.models","test_defaultdict","TestDefaultDict","","","test_defaultdict_vs_dict",""
"passed","Sun Jan 26 03:24:18 GMT 2025","Sun Jan 26 03:24:18 GMT 2025","1","tests.unit.models","test_defaultdict","TestGroupBy","","","test_group_by",""
"passed","Sun Jan 26 03:24:18 GMT 2025","Sun Jan 26 03:24:18 GMT 2025","1","tests.unit.models","test_json_assert","","","","test_01",""
"skipped","Sun Jan 26 03:24:18 GMT 2025","Sun Jan 26 03:24:18 GMT 2025","0","tests.unit.models","test_json_assert","","","","test_03",""
"passed","Sun Jan 26 03:24:18 GMT 2025","Sun Jan 26 03:24:18 GMT 2025","0","tests.unit.models","test_defaultdict","TestDefaultDict","","","test_defaultdict_custom_function",""
"passed","Sun Jan 26 03:24:18 GMT 2025","Sun Jan 26 03:24:18 GMT 2025","75","tests.scenario","test_task","","","","test_create_and_read",""
"skipped","Sun Jan 26 03:24:18 GMT 2025","Sun Jan 26 03:24:18 GMT 2025","0","tests.unit.models","test_flatmap","TestFlatmap","","","test_02",""
"skipped","Sun Jan 26 03:24:18 GMT 2025","Sun Jan 26 03:24:18 GMT 2025","0","tests.unit.crud","test_task","TestTaskCascade","","","test_delete_by_delete_query","
直接Taskをdeleteクエリで削除しても、子のDoneは削除されないこと。
"
