"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_01","tests.unit.models","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestFlatmap","test_flatmap","",""
"
ilikeを使用しないパターン
","6","test_lower_case","tests.unit.crud","Sat May 02 11:10:45 UTC 2026","passed","Sat May 02 11:10:45 UTC 2026","TestUser > TestFindByEmail > TestPartialMatch","test_user","",""
"","0","test_point[100-0-X-axis]","tests.unit.models","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestCase","test_case","",""
"","1","test_01","tests.unit.schemas","Sat May 02 11:10:47 UTC 2026","passed","Sat May 02 11:10:47 UTC 2026","TestFieldSerializer","test_datetime_serialize","",""
"","2","test_one[当日]","tests.unit.models","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestAge","test_user","",""
"","0","test_02","tests.unit.models","Sat May 02 11:10:46 UTC 2026","skipped","Sat May 02 11:10:46 UTC 2026","","test_search","",""
"","0","test_is_lower[aiueo@example.com]","tests.unit.schemas","Sat May 02 11:10:47 UTC 2026","passed","Sat May 02 11:10:47 UTC 2026","TestCustomEmailStr > TestIsValid","test_common","",""
"実行時間の精度テスト","201","test_timeit_execution_time_accuracy","tests.unit.helper","Sat May 02 11:10:45 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestTimeitContextManager","test_helper","",""
"","204","test_02","tests.scenario","Sat May 02 11:10:44 UTC 2026","passed","Sat May 02 11:10:45 UTC 2026","TestException","test_exception","",""
"","108","test_is_valid[aiueo@example.com-True]","tests.unit.schemas","Sat May 02 11:10:47 UTC 2026","passed","Sat May 02 11:10:47 UTC 2026","TestCustomEmailStr > TestIsValid","test_common","",""
"ネストしたコンテキストのテスト","101","test_timeit_nested_context","tests.unit.helper","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestTimeitContextManager","test_helper","",""
"","0","test_pydantic_with_orjson_response","tests.unit.api","Sat May 02 11:10:45 UTC 2026","skipped","Sat May 02 11:10:45 UTC 2026","TestSpeedPydantic","test_pydantic","",""
"","0","test_01","tests.unit.models","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","","test_json_assert","",""
"","0","test_point[0-0-Origin]","tests.unit.models","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestCase","test_case","",""
"","0","test_03[value2]","tests.unit.schemas","Sat May 02 11:10:47 UTC 2026","skipped","Sat May 02 11:10:47 UTC 2026","TestJson","test_json","",""
"","0","test_1","tests.unit.models","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestNested > TestMethodB > TestConditionA","test_nested","",""
"","0","test_02","tests.unit.models","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestTuple","test_tuple","",""
"","0","test_02","tests.unit.models","Sat May 02 11:10:46 UTC 2026","skipped","Sat May 02 11:10:46 UTC 2026","","test_json_assert","",""
"","0","test_group_by","tests.unit.models","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestGroupBy > TestItertools","test_defaultdict","",""
"","0","test_01","tests.unit.models","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestTuple","test_tuple","",""
"","5","test_08","tests.unit.schemas","Sat May 02 11:10:47 UTC 2026","passed","Sat May 02 11:10:47 UTC 2026","TestTimezone","test_datetime_serialize","",""
"並行実行のテスト","151","test_timeit_concurrent_execution","tests.unit.helper","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestTimeitContextManager","test_helper","",""
"","0","test_one_value","tests.unit.helper","Sat May 02 11:10:45 UTC 2026","passed","Sat May 02 11:10:45 UTC 2026","TestDateTimeResolver > TestIsChronological","test_datetime_resolver","",""
"","1","test_response_json","tests.scenario","Sat May 02 11:10:45 UTC 2026","passed","Sat May 02 11:10:45 UTC 2026","","test_healthcheck","",""
"","0","test_02[object0]","tests.helpers.tests","Sat May 02 11:10:44 UTC 2026","passed","Sat May 02 11:10:44 UTC 2026","","test_custom_assert","",""
"","0","test_normal","tests.unit.models","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestDummyUser","test_inherit_enum","",""
"","1","test_to_json","tests.unit.models","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestToJson","test_to_json","",""
"","0","test_for","tests.unit.models","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestForPythonista","test_for_pythonista","",""
"","12","test_add_and_expunge","tests.unit.models","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestTask > TestGetTasksWithDoneInnerJoin > TestExpunge > TestOneToMany","test_task","",""
"","6","test_criteria_is_db_value","tests.unit.crud","Sat May 02 11:10:45 UTC 2026","passed","Sat May 02 11:10:45 UTC 2026","TestUser > TestName","test_user","",""
"","6","test_parameter_upper","tests.unit.crud","Sat May 02 11:10:45 UTC 2026","passed","Sat May 02 11:10:45 UTC 2026","TestUser > TestFindByEmail > TestPartialMatch","test_user","",""
"","1","test_01[value1-True]","tests.unit.schemas","Sat May 02 11:10:47 UTC 2026","passed","Sat May 02 11:10:47 UTC 2026","TestJson","test_json","",""
"","0","test_04","tests.unit.models","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestFlatmap","test_flatmap","",""
"","0","test_04","tests.unit.models","Sat May 02 11:10:46 UTC 2026","skipped","Sat May 02 11:10:46 UTC 2026","","test_search","",""
"","0","test_1","tests.unit.models","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestNested > TestMethodB > TestConditionB","test_nested","",""
"
TODO: 昔はこれでエラーになることがあった
","4","test_01","tests.unit.crud","Sat May 02 11:10:45 UTC 2026","passed","Sat May 02 11:10:45 UTC 2026","TestNpNan","test_np_nan","",""
"","0","test_nested_defaultdict","tests.unit.models","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestDefaultDict","test_defaultdict","",""
"","6","test_delete_expunge","tests.unit.models","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestTask > TestGetTasksWithDoneInnerJoin > TestExpunge > Test1_1","test_task","",""
"","0","test_point[100-100-Somewhere else]","tests.unit.models","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestCase","test_case","",""
"","0","test_defaultdict_type_conversion","tests.unit.models","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestDefaultDict","test_defaultdict","",""
"","0","test_defaultdict_lambda","tests.unit.models","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestDefaultDict","test_defaultdict","",""
"","0","test_get_class[local-DummyMailer]","tests.unit.models","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestCase","test_case","",""
"
pydantic
","0","test_04","tests.unit.schemas","Sat May 02 11:10:47 UTC 2026","passed","Sat May 02 11:10:47 UTC 2026","TestTimezone","test_datetime_serialize","",""
"","1","test_one[1年前+1日]","tests.unit.models","Sat May 02 11:10:47 UTC 2026","passed","Sat May 02 11:10:47 UTC 2026","TestAge","test_user","",""
"
pydanticの入力値も必要
","1","test_07","tests.unit.schemas","Sat May 02 11:10:47 UTC 2026","passed","Sat May 02 11:10:47 UTC 2026","TestTimezone","test_datetime_serialize","",""
"","8","test_get_single","tests.unit.models","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestTask > TestGetTasksWithDoneInnerJoin","test_task","",""
"
直接Taskをdeleteクエリで削除しても、子のDoneは削除されないこと。
","9","test_delete_by_delete_query","tests.unit.crud","Sat May 02 11:10:45 UTC 2026","passed","Sat May 02 11:10:45 UTC 2026","TestTaskCascade","test_task","",""
"","0","test_get_class[dev-Mailer]","tests.unit.models","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestCase","test_case","",""
"","1","test_is_valid[あいうえお+あいうえお@example.com-False]","tests.unit.schemas","Sat May 02 11:10:47 UTC 2026","passed","Sat May 02 11:10:47 UTC 2026","TestCustomEmailStr > TestIsValid","test_common","",""
"","0","test_02","tests.unit.models","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestFlatmap","test_flatmap","",""
"
デフォルト引数をミュータブルにするとダメ.

https://docs.python.org/ja/3/reference/compound_stmts.html#grammar-token-python-grammar-parameter:~:text=%E3%83%86%E3%82%99%E3%83%95%E3%82%A9%E3%83%AB%E3%83%88%E5%BC%95%E6%95%B0%E3%81%AE%E5%BC%8F%E3%81%AF%E9%96%A2%E6%95%B0%E3%81%8B%E3%82%99%E5%AE%9A%E7%BE%A9%E3%81%95%E3%82%8C%E3%82%8B%E3%81%A8%E3%81%8D%E3%81%AB%E3%81%9F%E3%81%9F%E3%82%99%E4%B8%80%E5%BA%A6%E3%81%9F%E3%82%99%E3%81%91%E8%A9%95%E4%BE%A1%E3%81%95%E3%82%8C%E3%80%81%E5%90%8C%E3%81%97%E3%82%99%20%22%E8%A8%88%E7%AE%97%E6%B8%88%E3%81%BF%E3%81%AE%22%20%E5%80%A4%E3%81%8B%E3%82%99%E5%91%BC%E3%81%B2%E3%82%99%E5%87%BA%E3%81%97%E3%81%AE%E3%81%9F%E3%81%B2%E3%82%99%E3%81%AB%E4%BD%BF%E7%94%A8%E3%81%95%E3%82%8C%E3%82%8B%E3%81%93%E3%81%A8%E3%82%92%E6%84%8F%E5%91%B3%E3%81%97%E3%81%BE%E3%81%99%E3%80%82
","0","test_01","tests.unit.models","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestDefaultParameter","test_default_parameter","",""
"","0","test_02[value2]","tests.unit.schemas","Sat May 02 11:10:47 UTC 2026","passed","Sat May 02 11:10:47 UTC 2026","TestJson","test_json","",""
"","201","test_decolator","tests.unit.helper","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestTimeitContextManager","test_helper","",""
"
tzありとtzありは比較可能
","0","test_01","tests.unit.schemas","Sat May 02 11:10:47 UTC 2026","passed","Sat May 02 11:10:47 UTC 2026","TestTimezone","test_datetime_serialize","",""
"","0","test_01","tests.helpers","Sat May 02 11:10:44 UTC 2026","skipped","Sat May 02 11:10:44 UTC 2026","TestAws","test_aws","",""
"","0","test_one[1年前-1日]","tests.unit.models","Sat May 02 11:10:47 UTC 2026","passed","Sat May 02 11:10:47 UTC 2026","TestAge","test_user","",""
"カスタム例外での例外伝播テスト","1","test_timeit_with_custom_exception","tests.unit.helper","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestTimeitContextManager","test_helper","",""
"
Taskを削除したときに子テーブルのDoneも削除すること。
","12","test_delete_at_app","tests.unit.crud","Sat May 02 11:10:45 UTC 2026","passed","Sat May 02 11:10:45 UTC 2026","TestTaskCascade","test_task","",""
"","0","test_03","tests.unit.models","Sat May 02 11:10:46 UTC 2026","skipped","Sat May 02 11:10:46 UTC 2026","","test_search","",""
"","6","test_parameter_lower","tests.unit.crud","Sat May 02 11:10:45 UTC 2026","passed","Sat May 02 11:10:45 UTC 2026","TestUser > TestFindByEmail > TestPartialMatch","test_user","",""
"","0","test_is_chronological_with_tz","tests.unit.helper","Sat May 02 11:10:45 UTC 2026","passed","Sat May 02 11:10:45 UTC 2026","TestDateTimeResolver > TestIsChronological","test_datetime_resolver","",""
"","0","test_03","tests.unit.models","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestFlatmap","test_flatmap","",""
"","0","test_one[前日]","tests.unit.models","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestAge","test_user","",""
"","5","test_01","tests.unit.crud","Sat May 02 11:10:45 UTC 2026","passed","Sat May 02 11:10:45 UTC 2026","TestUser > TestName","test_user","",""
"","0","test_02[value1]","tests.unit.schemas","Sat May 02 11:10:47 UTC 2026","passed","Sat May 02 11:10:47 UTC 2026","TestJson","test_json","",""
"","6","test_03","tests.unit.crud","Sat May 02 11:10:45 UTC 2026","passed","Sat May 02 11:10:45 UTC 2026","TestUser > TestDefault","test_user","",""
"timeitコンテキストマネージャーのオーバーヘッドテスト","0","test_timeit_overhead","tests.unit.helper","Sat May 02 11:10:46 UTC 2026","skipped","Sat May 02 11:10:46 UTC 2026","TestTimeitPerformance","test_helper","",""
"","0","test_01[{""value"": {""a"": ""b""}}-False]","tests.unit.schemas","Sat May 02 11:10:47 UTC 2026","passed","Sat May 02 11:10:47 UTC 2026","TestJson","test_json","",""
"","0","test_defaultdict_custom_function","tests.unit.models","Sat May 02 11:10:46 UTC 2026","passed","Sat May 02 11:10:46 UTC 2026","TestDefaultDict","test_defaultdict","",""
"
pydantic経由しても同様
","0","test_03","tests.unit.schemas","Sat May 02 11:10:47 UTC 2026","passed","Sat May 02 11:10:47 UTC 2026","TestTimezone","test_datetime_serialize","",""
